title,price,city_name,salon,nb_rooms,nb_baths,surface_area,equipment,link
CMN-MA-1752 - Appartement à vendre à Palmier,2 000 000 DH,Casablanca,None,2.0,2.0,168.0,Ascenseur/Balcon/Parking/Terrasse,https://www.avito.ma/fr/palmier/appartements/CMN_MA_1752___Appartement_%C3%A0_vendre_%C3%A0_Palmier_55650664.htm
66370-Vente Appt à Casablanca Hay Hassani de 111 m,1 195 000 DH,Casablanca,None,2.0,2.0,98.0,Ascenseur/Balcon/Chauffage/Climatisation/Cuisine Équipée/Parking,https://www.avito.ma/fr/hay_hassani/appartements/66370_Vente_Appt_%C3%A0_Casablanca_Hay_Hassani_de_111_m_55715924.htm
Appartement à vendre 81 m² à Dar Bouazza,1 350 000 DH,Dar Bouazza,1.0,2.0,2.0,81.0,Ascenseur/Balcon/Chauffage/Climatisation/Concierge/Cuisine Équipée/Duplex/Parking/Sécurité/Terrasse,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm
63860-Vente Appt à Casablanca Quartier Bd Med V de,900 000 DH,Casablanca,None,1.0,1.0,56.0,Ascenseur/Chauffage/Climatisation/Cuisine Équipée/Meublé/Parking/Sécurité/Terrasse,https://www.avito.ma/fr/centre_ville/appartements/63860_Vente_Appt_%C3%A0_Casablanca_Quartier_Bd_Med_V_de_55626598.htm
Appartement à Rabat Agdal,3 100 000 DH,Rabat,2.0,3.0,2.0,200.0,Ascenseur/Balcon/Concierge/Parking/Sécurité,https://www.avito.ma/fr/agdal/appartements/Appartement_%C3%A0_Rabat_Agdal_52876137.htm
66644-Vente Appt à Casablanca Val Fleury de 277 m²,3 200 000 DH,Casablanca,None,4.0,2.0,215.0,Ascenseur/Chauffage/Climatisation/Cuisine Équipée/Parking/Terrasse,https://www.avito.ma/fr/maarif/appartements/66644_Vente_Appt_%C3%A0_Casablanca_Val_Fleury_de_277_m%C2%B2_55719974.htm
Appartement à vendre 98 m² à Marrakech,760 000 DH,Marrakech,1.0,3.0,3.0,98.0,Ascenseur/Balcon/Concierge/Cuisine Équipée/Parking/Sécurité,https://www.avito.ma/fr/akioud/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Marrakech_55686721.htm
50620-Vente Appt à Casablanca Hay Mohammadi de 73,790 000 DH,Casablanca,None,3.0,2.0,73.0,Cuisine Équipée,https://www.avito.ma/fr/hay_mohammadi/appartements/50620_Vente_Appt_%C3%A0_Casablanca_Hay_Mohammadi_de_73__55244102.htm
appartement à vendre,780 000 DH,Asilah,1.0,2.0,1.0,72.0,Balcon/Cuisine Équipée/Meublé/Sécurité,https://www.avito.ma/fr/asilah/appartements/appartement_%C3%A0_vendre__55838787.htm
61833-Vente Appt à Casablanca Sidi Moumen de 178 m,1 990 000 DH,Casablanca,None,5.0,2.0,178.0,Cuisine Équipée/Duplex/Sécurité/Terrasse,https://www.avito.ma/fr/sidi_moumen/appartements/61833_Vente_Appt_%C3%A0_Casablanca_Sidi_Moumen_de_178_m_55748513.htm
Appartement 76 m² en Plein Cœur de Bouskoura,755 000 DH,Bouskoura,1.0,2.0,2.0,76.0,Ascenseur/Balcon/Concierge/Cuisine Équipée/Parking/Sécurité/Terrasse,https://www.avito.ma/fr/ville_verte/appartements/Appartement_76_m%C2%B2_en_Plein_C_ur_de_Bouskoura_55756161.htm
Appartement moderne à vendre 105 m² à Kénitra,790 000 DH,Kénitra,1.0,3.0,2.0,105.0,Sécurité,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Appartement_moderne__%C3%A0_vendre_105_m%C2%B2_%C3%A0_K%C3%A9nitra_55090849.htm
OASIS VENTE BEL APPARTEMENT AVEC TERRASSE,1 900 000 DH,Casablanca,1.0,2.0,2.0,105.0,Ascenseur/Chauffage/Climatisation/Concierge/Cuisine Équipée/Sécurité/Terrasse,https://www.avito.ma/fr/oasis/appartements/OASIS_VENTE_BEL_APPARTEMENT_AVEC_TERRASSE__55691728.htm
QUARTIER DES HOPITAUX BEL APPARTEMENT A VENDRE,2 500 000 DH,Casablanca,1.0,3.0,2.0,143.0,Ascenseur/Concierge/Cuisine Équipée/Parking,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/QUARTIER_DES_HOPITAUX_BEL_APPARTEMENT_A_VENDRE_55813128.htm
spacieux appartement moulay driss 1,1 350 000 DH,Casablanca,2.0,2.0,1.0,140.0,Ascenseur/Balcon/Concierge/Terrasse,https://www.avito.ma/fr/2_mars/appartements/spacieux_appartement__moulay_driss_1_54352231.htm
